N,DEPARTAMENTO,MUNICIPIO,ZZ,PP,PUESTO,MESA,COD CAN,CANDIDATO,POTENCIAL,% Partic. Mesa PRE,Votos Mesa PRE,Votos Mesa ESC,Votos Cand. PRE,Votos Cand. ESC,Dif. Cand. Neta,% Cand. Mesa PRE,% Cand. Mesa ESC,% Cand. Mun PRE,% Cand. Mun ESC,Dif. % Mesa-Mun PRE,Dif. % Mesa-Mun ESC,Var. Súbita PRE,Var. Súbita ESC,Concent. Cand. PRE,Concent. Cand. ESC,Diferencias Mesa (-),Diferencias Mesa (+),Dif. Mesa Neta,En términos,Estado del sobre,Excluida,Firmas Jurados,Recontada Comisión,Recontada Jurados,Sufragantes E11 según E14,Sufragantes según E11,Tacahaduras y/o Enmendaduras,Total Votos E14,Votos Urna,Votos Incinerados
2,88 CONSULADOS,360-ESTADOS UNIDOS,35.0,81,LUNES LOS ANGELES - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,9.42,942.0,,694.0,,,73.67,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-942.0,0.0,-942.0,,,,,,,,,,,,
3,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,3.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,6.15,615.0,,564.0,,,91.71,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-615.0,0.0,-615.0,,,,,,,,,,,,
4,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,81,LUNES MIAMI - CONSULADO,15.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.73,573.0,,526.0,,,91.8,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-573.0,0.0,-573.0,,,,,,,,,,,,
5,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.62,562.0,,503.0,,,89.5,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-562.0,0.0,-562.0,,,,,,,,,,,,
6,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,2.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.48,548.0,,497.0,,,90.69,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-548.0,0.0,-548.0,,,,,,,,,,,,
7,88 CONSULADOS,360-ESTADOS UNIDOS,57.0,83,MIERCOLES NEWARK - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,6.35,635.0,,486.0,,,76.54,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-635.0,0.0,-635.0,,,,,,,,,,,,
8,88 CONSULADOS,360-ESTADOS UNIDOS,57.0,85,VIERNES NEWARK - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,6.63,663.0,,485.0,,,73.15,,72.1,,,,0. Mínima,0. Mínima,2. Alta,0. Baja,-663.0,0.0,-663.0,,,,,,,,,,,,
9,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,6.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.58,558.0,,470.0,,,84.23,,72.1,,,,2. Media,0. Mínima,3. Muy Alta,0. Baja,-558.0,0.0,-558.0,,,,,,,,,,,,
10,88 CONSULADOS,360-ESTADOS UNIDOS,40.0,83,MIERCOLES MIAMI - CONSULADO,7.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,6.03,603.0,,466.0,,,77.28,,72.1,,,,1. Baja,0. Mínima,2. Alta,0. Baja,-603.0,0.0,-603.0,,,,,,,,,,,,
11,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,81,LUNES ORLANDO - CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.25,525.0,,465.0,,,88.57,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-525.0,0.0,-525.0,,,,,,,,,,,,
12,88 CONSULADOS,360-ESTADOS UNIDOS,59.0,82,MARTES ORLANDO - CONSULADO,4.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,5.27,527.0,,465.0,,,88.24,,72.1,,,,3. Alta,0. Mínima,3. Muy Alta,0. Baja,-527.0,0.0,-527.0,,,,,,,,,,,,
